End of Period,Paid-up Capital,Demand Deposits_Inter-Bank_Domestic,Demand Deposits_Inter-Bank_Foreign,Demand Deposits_Govt. of Sri Lanka,Demand Deposits_Resident Constituents,Demand Deposits_Non Resident Constituents,Time and Savings Deposits_Govt. of Sri Lanka,Time and Savings Deposits_Resident Constituents,Time and Savings Deposits_Non Resident Constituents,Total All Deposits_Demand,Total All Deposits_Time and Savings,Borrowings_Domestic InterBank (h),Borrowings_Foreign,Other Liabilities
1995-12-01,33459.76107,28.025213,259.971505,8231.728562,32970.429019,1085.516889,1251.528605,153319.166763,31085.294477,42575.671188,185655.98984499997,14259.517261,2783.677031,56778.971079
1996-01-01,34543.004915,51.398709,789.014508,7837.808598,32480.144025,1136.516464,1724.817096,154306.501998,30654.783199,42294.882304,186686.102293,14120.905752,2341.02903,56748.641675
1996-02-01,35033.53141,47.497158,443.441775,7068.134192,34885.712434,983.282012,1597.894118,156759.13881,30869.23007,43428.06757100001,189226.262998,17729.257821,4179.600287,57623.193309
1996-03-01,35560.92468,13.20481,810.803225,6864.444577,36698.295305,1419.573678,1879.373538,157381.776405,30872.993054,45806.321595,190134.14299700002,17394.765098,3174.417173,59744.578397
1996-04-01,35767.743239,36.096371,584.070817,8547.851008,35944.382967,1378.502181,1786.972517,162416.394398,31505.942974,46490.903344,195709.309889,16553.155618,4230.758797,58465.277946
1996-05-01,36031.493234,328.174756,626.041409,8275.968475,33700.907814,1498.818548,1682.294388,165452.713808,31946.107442,44429.911002,199081.11563800002,17410.192107,3516.370581,57919.390635
1996-06-01,36336.836064,10.423288,377.058734,6772.625347,33109.379218,1412.593113,1815.027653,164451.102155,32572.742342,41682.0797,198838.87215,19898.742462,3561.104921,56172.03296
1996-07-01,36648.119246,276.273756,466.213787,8179.182124,34062.056059,1674.790453,1785.25209,163883.607304,32887.301888,44658.516179000006,198556.16128200002,19456.542892,3509.699066,63034.2495
1996-08-01,34932.59395,719.235699,598.143976,7506.175217,33519.240329,1505.741886,1774.757926,163911.678096,33891.388294,43848.537107000004,199577.82431599998,20502.878719,4009.06128,62573.322828
1996-09-01,35307.253967,18.752354,923.750539,9304.8624,34351.204293,1681.844455,1737.583643,165065.494051,34514.272707,46280.414041,201317.35040099997,20510.559286,4704.411318,65024.811748
1996-10-01,37317.203416,16.548269,790.193609,8803.96169,32557.738824,1656.76555,1890.722757,168841.30166,34212.266712,43825.20794199999,204944.29112900002,24622.466041,3327.541052,61685.838619
1996-11-01,38761.596432,16.694163,1005.856588,9335.934265,33683.833796,1284.449824,1784.051624,169950.624648,34776.160265,45326.768636,206510.83653700002,27271.286897,3029.850526,57797.084988
1996-12-01,39237.696816,3.595163,949.919664,10868.568891,35515.712278,1529.092869,2033.225167,174997.814424,36008.8832,48866.888865,213039.922791,26208.381258,1986.546496,60456.936834
1997-01-01,40079.309275,12.582951,881.055919,9333.986892,36159.83317,1185.142638,1901.621812,175267.845188,36857.507518,47572.60157,214026.974518,25931.994542,2613.007076,57761.443539
1997-02-01,40863.62131,16.503849,713.674509,8775.358171,34864.696418,1126.848131,2349.432063,177370.007323,36985.867579,45497.081077999996,216705.306965,26247.812869,3114.503167,58967.751251
1997-03-01,41055.879658,98.388633,625.737289,7936.153975,36617.811303,1390.913009,2590.792578,179829.125793,37720.742112,46669.004209000006,220140.660483,26290.195454,4801.71377,63537.014818
1997-04-01,41565.542796,77.779782,659.544121,7806.239392,36891.437906,1110.103879,2737.747417,180774.03797,38470.463962,46545.10508,221982.24934900002,25676.304779,5262.734509,61597.075606
1997-05-01,40829.961223,54.483572,571.912418,9184.683441,37203.471059,1112.208414,2842.423955,181947.388641,38269.725572,48126.758904,223059.538168,25886.482859,4594.397923,67900.069656
1997-06-01,41012.55951,15.143983,604.273018,8472.535182,36938.040267,1090.841789,3113.748511,185433.90969,37881.044861,47120.834238999996,226428.70306200002,24953.949418,5244.974697,70039.692547
1997-07-01,41680.183144,34.370774,645.008797,10481.822244,36793.991639,1075.139001,3172.205376,188066.114641,39313.834954,49030.332455,230552.15497099998,23274.405269,3731.331794,71358.003425
1997-08-01,42385.917925,16.374592,680.189737,8896.67248,37006.27636,1299.269465,3613.160365,190920.65621,39240.979468,47898.782634,233774.79604299998,24084.926659,3942.251591,69732.575611
1997-09-01,43933.473733,109.830998,566.809321,8851.577948,38464.044749,1260.276181,3740.574851,194707.099813,39819.712287,49252.539197,238267.38695100002,22699.651234,3586.301866,71602.439428
1997-10-01,43317.253193,40.040528,636.761639,8444.983428,38812.258217,1358.439667,3751.598179,196277.246331,40228.837258,49292.483479,240257.681768,23335.445874,4370.270739,73890.515417
1997-11-01,43001.799376,20.576052,605.685625,9481.898424,37704.510958,1334.772177,3876.747036,198988.91358,40588.578696,49147.443236,243454.239312,22742.366367,4462.006879,71113.470042
1997-12-01,44368.426661,1.71803,737.166609,9847.002129,40107.863248,2010.52224,3881.339792,202406.121791,43254.876788,52704.272256000004,249542.33837100002,24170.914803,3237.615071,68766.995725
1998-01-01,46315.677878,42.785363,809.484358,9607.402711,39136.933534,1961.058489,3489.661029,203489.807402,44174.32953595,51557.664455000006,251153.79796695002,27076.287622,4546.509932,70062.189068
1998-02-01,46790.820693,32.599482,753.007342,7210.464975,39783.164348,1576.979172,3340.028973,204187.8798,45266.801821,49356.215318999995,252794.710594,26688.751862,4059.874803,71668.096863
1998-03-01,47092.53246,28.288943,529.920236,8510.364036,43304.150426,1672.387925,2490.461529,205010.401843,47307.323447,54045.11156600001,254808.186819,26559.44173,5759.260817,74151.494028
1998-04-01,47372.782144,60.944044,683.475745,7516.764851,42176.275113,2141.090422,2098.26576,206715.475479,50322.10125,52578.550175000004,259135.842489,25579.320345,3214.771088,75632.472757
1998-05-01,43653.463961,36.961347,804.813517,10568.433624,42439.806042,2054.941264,1848.176389,207295.546732,51720.379444,55904.955794,260864.10256499998,26847.89236,2871.641547,77946.911467
1998-06-01,44122.158856,47.115691,667.169996,9174.359046,42446.528635,1481.566555,1763.16824,206816.87223,53413.269233,53816.739923,261993.309703,23794.536692,3702.740787,75526.37112
1998-07-01,45537.287985,13.556609,731.179898,8818.933584,43555.593184,1495.810167,1705.246699,206412.78405,53149.911104,54615.073442,261267.941853,24525.021556,4107.970692,86373.113429
1998-08-01,46108.158286,26.859502,600.641394,10997.212167,42679.215042,1413.375477,1596.769511,205115.990469,53913.280372,55717.303582,260626.040352,25995.676496,4692.211538,84221.292777
1998-09-01,45611.159728,28.85924,563.986493,11379.586927,44439.688431,1338.816443,1367.845693,208215.088362,53895.425761,57750.937534000004,263478.35981600004,27472.47128,3885.934158,81936.236961
1998-10-01,46287.011987,9.29538,624.177793,9149.282792,42867.152898,1466.968286,1477.202712,211274.76992,58207.141311,54116.87714900001,270959.113943,25934.143502,5780.465458,82474.99164
1998-11-01,47775.611583,21.135959,747.488971,12184.999727,43796.188436,1633.686138,1394.344185,213661.415435,58917.919027,58383.499230999994,273973.678647,26135.670963,4611.534304,81903.525817
1998-12-01,50219.68088292,2.440133,627.10240992,10396.917232,44470.02794247,1735.98544722,1248.621061,219905.72873370998,61073.83094728999,57232.473164610004,282228.180742,28413.236823,3625.668606,79963.55217632
1999-01-01,48576.80834344,18.367856,602.557029,10685.324431,45081.768142,1470.271843,1265.567446,220732.180749,61270.798052,57858.289301000004,283268.546247,28212.200727,5183.935429,80323.969775
1999-02-01,48204.839235440006,367.304467,746.848526,10649.498381,44599.219798,1482.062377,1269.908274,221718.433246,65829.575012,57844.933549,288817.916532,29751.053124,6200.260637,79718.639048
1999-03-01,47521.177195,46.044191,564.761725,8844.972844,47076.954039,1615.494607,1237.212552,221990.322117,65619.253791,58148.227406,288846.78846,24853.167782,6466.052511,85075.337693
1999-04-01,47875.610927,26.590887,627.880916,8629.119516,49150.634637,1895.150336,1417.963154,223328.661729,64687.903704,60329.376292,289434.528587,28967.65502,8285.699673,98506.093541
1999-05-01,48343.998817,54.012815,998.235172,9166.248418,48242.668712,1640.87937,1247.75299,225060.497989,67528.329067,60102.044487,293836.580046,28521.831348,9814.631028,93778.216293
1999-06-01,48370.785089,71.392946,900.341721,9233.120884,47771.124119,1615.074611,1271.388481,227818.669391,68333.80441,59591.054281000004,297423.862282,25620.932229,9703.141931,87287.120691
1999-07-01,49505.358826,19.919095,656.472452,9305.131381,47250.576841,1934.087954,1320.314021,230234.925676,69722.639174,59166.187723,301277.878871,27564.887792,10253.41155,90896.937254
1999-08-01,49050.68518744,20.134308,1037.06022587,9999.510298,47171.489815220004,1668.5857856500002,1226.683461,231534.68058261,69131.88112023001,59896.78043274,301893.24516384,28416.268297,9826.41473098,90932.58653217
1999-09-01,49219.586946870004,39.781114,721.64409961,8889.040675,49125.36543096,1584.17874959,1255.590625,235497.99983132997,69746.81917403999,60360.01006916,306500.40963037,29834.35616,10037.165233,86490.376945
1999-10-01,50563.156792,19.247634,488.257699,9896.764559,47064.810012,1641.722616,1104.651734,241068.767467,71036.150226,59110.80252,313209.569427,30198.886321,10179.617683,86471.41835
